"tenantid","applicationno","actioninprocessinstance","currentstatus","expectedstatus"
"od.berhampur","BP-BAM-2022-05-15-003627","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.berhampur","BP-BAM-2022-06-01-003942","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.berhampur","BP-BAM-2022-06-03-004250","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.berhampur","BP-BAM-2022-06-11-004610","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-02-14-000858","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-02-19-000987","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-04-12-002491","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-04-23-002791","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-04-27-002937","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-05-13-003572","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-05-13-003581","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-05-13-003583","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswar","BP-BMC-2022-02-04-000688","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswar","BP-BMC-2022-02-16-000902","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswar","BP-BMC-2022-02-21-001012","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswar","BP-BMC-2022-03-05-001395","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswar","BP-BMC-2022-03-11-001608","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswar","BP-BMC-2022-05-01-003096","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswar","BP-BMC-2022-06-18-004865","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.cuttack","BP-CTC-2022-04-11-002428","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.rourkela","BP-RRK-2022-02-22-001059","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.rourkela","BP-RRK-2022-06-01-003983","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
